Epoch,Training Loss,Training Accuracy (%),Validation Loss,Validation Accuracy (%)
1,1.236784787202368,44.903999999999996,0.7036976754665375,59.06
2,0.5683947795507859,69.6,0.36271808594465255,84.98
3,0.39741341039842487,83.70400000000001,0.2891928218305111,89.18
4,0.26173710929495947,89.408,0.24198033660650253,91.24
5,0.18088753529045046,93.06,0.1663422290235758,93.52000000000001
6,0.1362240867955344,94.568,0.09582103751599788,96.24000000000001
7,0.18966030287651384,92.44,0.09315197840332985,96.52
8,0.137492639411773,94.92,0.2396925024688244,89.82
9,0.10444077233574828,95.948,0.05580273624509573,98.11999999999999
10,0.08142609305071588,96.852,0.061643786169588564,97.3
